,Value,Count
0,Neotropical,4751
1,Palearctic,3351
2,Afrotropical,3080
3,Indomalayan,2906
4,Australasian,1702
5,Nearctic,1029
6,Oceanian,604
7,Indomalayan|Palearctic,245
8,Nearctic|Neotropical,191
9,Afrotropical|Palearctic,163
10,Nearctic|Palearctic,52
11,Afrotropical|Indomalayan|Palearctic,46
12,Afrotropical|Australasian|Indomalayan|Nearctic|Neotropical|Oceanian|Palearctic,22
13,Indomalayan|Oceanian,20
14,Australasian|Indomalayan,14
15,Afrotropical|Australasian|Indomalayan|Nearctic|Neotropical|Palearctic,12
16,Australasian|Oceanian,11
17,Neotropical|Oceanian,10
18,Afrotropical|Neotropical,9
19,Indomalayan|Oceanian|Palearctic,9
20,Indomalayan|Nearctic|Palearctic,9
21,Afrotropical|Antarctic|Neotropical|Oceanian,8
22,Afrotropical|Antarctic|Australasian|Indomalayan|Nearctic|Neotropical|Oceanian|Palearctic,8
23,Australasian|Indomalayan|Palearctic,8
24,Indomalayan|Nearctic|Oceanian|Palearctic,7
25,Afrotropical|Nearctic|Neotropical|Palearctic,7
26,Nearctic|Neotropical|Palearctic,7
27,Afrotropical|Australasian|Indomalayan|Palearctic,7
28,Afrotropical|Indomalayan|Nearctic|Neotropical|Oceanian|Palearctic,7
29,Afrotropical|Australasian|Indomalayan,6
30,Afrotropical|Nearctic|Neotropical|Oceanian|Palearctic,6
31,Afrotropical|Antarctic|Indomalayan|Nearctic|Neotropical|Oceanian|Palearctic,5
32,Afrotropical|Indomalayan,5
33,Afrotropical|Indomalayan|Nearctic|Palearctic,4
34,Afrotropical|Australasian|Indomalayan|Oceanian|Palearctic,4
35,Nearctic|Oceanian,4
36,Afrotropical|Neotropical|Oceanian,4
37,Afrotropical|Antarctic|Indomalayan|Nearctic|Neotropical|Palearctic,4
38,Afrotropical|Australasian|Nearctic|Neotropical|Palearctic,4
39,Nearctic|Neotropical|Oceanian,3
40,Afrotropical|Indomalayan|Oceanian|Palearctic,3
41,Oceanian|Palearctic,3
42,Afrotropical|Antarctic,3
43,Afrotropical|Antarctic|Australasian|Nearctic|Neotropical|Oceanian|Palearctic,3
44,Neotropical|Palearctic,3
45,Nearctic|Neotropical|Oceanian|Palearctic,3
46,Afrotropical|Indomalayan|Oceanian,2
47,Antarctic|Oceanian,2
48,Afrotropical|Australasian|Nearctic|Palearctic,2
49,Afrotropical|Oceanian,2
50,Afrotropical|Indomalayan|Nearctic|Neotropical|Palearctic,2
51,Afrotropical|Australasian|Neotropical|Oceanian|Palearctic,2
52,Antarctic|Australasian|Nearctic|Neotropical,1
53,Afrotropical|Nearctic|Neotropical,1
54,Afrotropical|Antarctic|Neotropical,1
55,Afrotropical|Australasian|Indomalayan|Oceanian,1
56,Afrotropical|Australasian,1
57,Afrotropical|Antarctic|Oceanian,1
58,Afrotropical|Nearctic|Palearctic,1
59,Indomalayan|Nearctic|Neotropical|Oceanian|Palearctic,1
60,Australasian|Indomalayan|Oceanian,1
61,Afrotropical|Antarctic|Australasian|Neotropical|Oceanian|Palearctic,1
62,Antarctic|Australasian,1
63,Afrotropical|Australasian|Indomalayan|Neotropical,1
